"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
1,39457	7,20574	0
1,49458	7,20365	-2,80142e-06
1,59457	7,17234	-2,79662e-06
1,69457	7,19055	4,77303e-09
1,79457	7,21019	-2,80142e-06
1,89457	7,19049	-2,80142e-06
1,99458	7,18297	5,04899e-05
2,09457	7,19878	0,000159894
2,19457	7,21923	0,000305866
2,29457	7,20269	0,000499462
2,39457	7,19676	0,000763272
2,49458	7,22323	0,00108025
2,59457	7,2283	0,00141976
2,69457	7,22979	0,00181553
2,79457	7,23971	0,00227568
2,89457	7,2432	0,00275848
2,99458	7,22721	0,00326631
3,09457	7,2351	0,00376863
3,19457	7,24048	0,00425977
3,29457	7,24185	0,00476475
3,39457	7,25418	0,00525589
3,49458	7,29927	0,00575251
3,59457	7,31284	0,00626893
3,69457	7,36236	0,00675721
3,79457	7,40873	0,00726242
3,89457	7,44581	0,00775904
3,99458	7,51869	0,00825567
4,09457	7,56343	0,00877208
4,19457	7,61576	0,00926323
4,29457	7,66845	0,00976557
4,39457	7,69799	0,0102622
4,49458	7,76529	0,0107617
4,59457	7,82614	0,0112724
4,69457	7,86984	0,0117635
4,79457	7,92899	0,012263
4,89457	7,98329	0,0127682
4,99458	8,02351	0,0132565
5,09457	8,09025	0,0137755
5,19457	8,13102	0,0142667
5,29457	8,18038	0,014769
5,39457	8,2222	0,0152714
5,49458	8,27164	0,0157623
5,59457	8,31845	0,0162758
5,69457	8,36306	0,016767
5,79457	8,40624	0,0172636
5,89457	8,45677	0,0177717
5,99458	8,5009	0,0182628
6,09457	8,55943	0,0187735
6,19457	8,57402	0,019273
6,29457	8,62533	0,0197668
6,39457	8,67956	0,020272
6,49458	8,71541	0,0207631
6,59457	8,77022	0,0212738
6,69457	8,79631	0,0217704
6,79457	8,83855	0,0222616
6,89457	8,88378	0,0227694
6,99458	8,93283	0,0232577
7,09457	8,97851	0,0237686
7,19457	9,01698	0,0242707
7,29457	9,0709	0,024759
7,39457	9,11402	0,0252671
7,49458	9,13624	0,0257608
7,59457	9,19523	0,0262689
7,69457	9,23217	0,0267739
7,79457	9,27748	0,0272622
7,89457	9,32086	0,0277616
7,99458	9,39234	0,0282557
8,09457	9,42213	0,0287607
8,19457	9,49499	0,0292743
8,29457	9,55343	0,0297626
8,39457	9,61161	0,0302649
8,49458	9,67038	0,0307589
8,59457	9,72167	0,031261
8,69457	9,77965	0,0317746
8,79457	9,8058	0,0322629
8,89457	9,90866	0,0327681
8,99458	10,0063	0,0332618
9,09457	10,056	0,0337616
9,19457	10,1469	0,0342749
9,29457	10,1865	0,0347631
9,39457	10,2698	0,0352684
9,49458	10,3283	0,0357678
9,59457	10,382	0,0362618
9,69457	10,4565	0,036778
9,79457	10,4878	0,0372663
9,89457	10,5743	0,0377687
9,99458	10,6343	0,038271
10,0946	10,7032	0,0387593
10,1946	10,7536	0,0392728
10,2946	10,8401	0,0397668
10,3946	10,8773	0,0402635
10,4946	10,9438	0,0407713
10,5946	10,9992	0,0412624
10,6946	11,0579	0,0417731
10,7946	11,1106	0,04227
10,8946	11,1755	0,0427638
10,9946	11,2406	0,043269
11,0946	11,2952	0,0437627
11,1946	11,3636	0,0442708
